Date,HomeTeam,AwayTeam,H,D,A,O25,Div,kaynak,FTHG,FTAG,home_n,away_n,FTR,Over25,BTTS
2026-09-16,CRB,Sport Recife,1.95,3.57,4.05,,Serie B,soccerbets,2.0,1.0,crb,sport recife,H,1.0,1.0
2026-09-16,Chico,Alianza,1.95,3.0,4.88,,Primera A - Clausura,soccerbets,1.0,2.0,chico,alianza,A,1.0,1.0
2026-09-16,Sao Paulo,Boca Juniors,2.44,2.88,3.55,,Copa Sudamericana - Play Offs,soccerbets,1.0,1.0,sao paulo,boca juniors,D,0.0,1.0
2026-09-16,Bahia W,Corinthians W,5.14,3.95,1.58,,Brasileiro Women - Play Offs,soccerbets,0.0,1.0,bahia w,corinthians w,A,0.0,0.0
2026-09-16,Puebla,Toluca,6.03,4.71,1.52,,Liga Mx - Apertura,soccerbets,0.0,1.0,puebla,toluca,A,0.0,0.0
2026-09-16,Dorados de Sinaloa,Cancun,2.57,3.56,2.63,,Liga De Expansion Mx - Apertura,soccerbets,1.0,1.0,dorados de sinaloa,cancun,D,0.0,1.0
2026-09-16,United Arab Emirates U23,Iran U23,3.6,3.23,1.98,,Asian Games,soccerbets,1.0,3.0,united arab emirates u23,iran u23,A,1.0,1.0
2026-09-16,Thailand U23,Kyrgyzstan U23,2.11,3.28,3.37,,Asian Games,soccerbets,3.0,2.0,thailand u23,kyrgyzstan u23,H,1.0,1.0
2026-09-16,Borneo,Dewa United,2.26,3.46,3.15,,Super League,soccerbets,1.0,3.0,borneo,dewa united,A,1.0,1.0
2026-09-16,Teplice U19,Slavia Prague U19,1.83,4.38,2.69,,U19 League,soccerbets,1.0,1.0,teplice u19,slavia prague u19,D,0.0,1.0
2026-09-16,Brno U19,Hradec Kralove U19,2.67,3.95,1.93,,U19 League,soccerbets,3.0,2.0,brno u19,hradec kralove u19,H,1.0,1.0
2026-09-16,Kolos Kovalivka,Karpaty Lviv,3.44,3.2,2.1,,Ukrainian Cup,soccerbets,2.0,3.0,kolos kovalivka,karpaty lviv,A,1.0,1.0
2026-09-16,Hamburger SV II,St. Pauli II,2.47,3.66,2.51,,Regionalliga North,soccerbets,0.0,3.0,hamburger sv ii,st pauli ii,A,1.0,0.0
2026-09-16,Jeonbuk,Kashiwa Reysol,3.06,3.4,2.34,,Afc Champions League - League Phase,soccerbets,2.0,1.0,jeonbuk,kashiwa reysol,H,1.0,1.0
2026-09-16,Seoul,Persib Bandung,2.39,3.52,2.66,,Afc Champions League 2,soccerbets,0.0,1.0,seoul,persib bandung,A,0.0,0.0
2026-09-16,China U23,North Korea U23,2.34,3.08,3.07,,Asian Games,soccerbets,2.0,1.0,china u23,north korea u23,H,1.0,1.0
2026-09-16,Chainat,Pattaya United,2.5,2.96,2.82,,Thai League 2,soccerbets,0.0,0.0,chainat,pattaya united,D,0.0,0.0
2026-09-16,Uttaradit,Nong Bua Pitchaya,2.43,3.22,2.71,,Thai League 2,soccerbets,2.0,2.0,uttaradit,nong bua pitchaya,D,1.0,1.0
2026-09-16,Prykarpattya,FC Kharkiv,10.74,5.46,1.16,,Ukrainian Cup,soccerbets,0.0,2.0,prykarpattya,kharkiv,A,0.0,0.0
2026-09-16,Karaman,Kepez Bld.,2.19,3.43,2.95,,Turkish Cup - Qualification,soccerbets,2.0,3.0,karaman,kepez bld,A,1.0,1.0
2026-09-16,Nakhon Pathom,Kanchanaburi,3.39,3.25,2.04,,Thai League 2,soccerbets,1.0,1.0,nakhon pathom,kanchanaburi,D,0.0,1.0
2026-09-16,Merani Martvili,Bolnisi,2.28,3.2,2.78,,Crystalbet Erovnuli Liga 2,soccerbets,2.0,1.0,merani martvili,bolnisi,H,1.0,1.0
2026-09-16,Mahasarakham,Nakhon Ratchasima FC,2.59,3.06,2.64,,Thai League 2,soccerbets,1.0,1.0,mahasarakham,nakhon ratchasima,D,0.0,1.0
2026-09-16,Galata,Yesil Yalova FK,1.43,4.72,5.32,,Turkish Cup - Qualification,soccerbets,2.0,1.0,galata,yesil yalova,H,1.0,1.0
2026-09-16,Niki Volos,Asteras Tripolis,3.66,2.99,2.06,,Greek Cup,soccerbets,0.0,3.0,niki volos,asteras tripolis,A,1.0,0.0
2026-09-16,Port MTI FC,Vissel Kobe,5.13,4.12,1.62,,Afc Champions League - League Phase,soccerbets,1.0,2.0,port mti,vissel kobe,A,1.0,1.0
2026-09-16,Viettel,Melbourne Victory,3.52,4.42,1.76,,Afc Champions League 2,soccerbets,1.0,1.0,viettel,melbourne victory,D,0.0,1.0
2026-09-16,Yenisey,Arsenal Tula,2.09,3.4,3.67,,Fnl,soccerbets,3.0,1.0,yenisey,arsenal tula,H,1.0,1.0
2026-09-16,Chievo,Club Milano,1.67,3.36,4.63,,Serie D - Group B,soccerbets,2.0,0.0,chievo,club milano,H,0.0,0.0
2026-09-16,Kolkheti 1913,Samtredia,2.89,3.51,2.08,,Crystalbet Erovnuli Liga 2,soccerbets,1.0,0.0,kolkheti 1913,samtredia,H,0.0,0.0
2026-09-16,Bra,AS Biellese,2.17,3.28,2.9,,Serie D - Group A,soccerbets,0.0,1.0,bra,biellese,A,0.0,0.0
2026-09-16,Chisola,Sanremese,2.71,2.91,2.51,,Serie D - Group A,soccerbets,1.0,0.0,chisola,sanremese,H,0.0,0.0
2026-09-16,Leon,Piacenza,2.73,3.37,2.23,,Serie D - Group B,soccerbets,1.0,1.0,leon,piacenza,D,0.0,1.0
2026-09-16,Altavilla,Legnago Salus,2.4,3.14,2.66,,Serie D - Group C,soccerbets,2.0,3.0,altavilla,legnago salus,A,1.0,1.0
2026-09-16,Cjarlins Muzane,Conegliano,1.62,3.37,5.04,,Serie D - Group C,soccerbets,0.0,1.0,cjarlins muzane,conegliano,A,0.0,0.0
2026-09-16,Luparense,Virtus Bolzano,1.49,3.76,5.77,,Serie D - Group C,soccerbets,4.0,0.0,luparense,virtus bolzano,H,1.0,0.0
2026-09-16,Castellanzese,Oltrepo,2.3,2.94,2.98,,Serie D - Group D,soccerbets,0.0,1.0,castellanzese,oltrepo,A,0.0,0.0
2026-09-16,Pro Patria,Crema,1.41,4.18,6.0,,Serie D - Group D,soccerbets,2.0,0.0,pro patria,crema,H,0.0,0.0
2026-09-16,Tropical Coriano,Lentigione,5.74,3.62,1.51,,Serie D - Group D,soccerbets,1.0,2.0,tropical coriano,lentigione,A,1.0,1.0
2026-09-16,Seravezza Pozzi,Montevarchi,1.78,3.37,3.95,,Serie D - Group E,soccerbets,1.0,1.0,seravezza pozzi,montevarchi,D,0.0,1.0
2026-09-16,Maceratese,Ancona,6.47,3.97,1.39,,Serie D - Group F,soccerbets,0.0,1.0,maceratese,ancona,A,0.0,0.0
2026-09-16,Recanatese,Foligno,2.91,2.88,2.38,,Serie D - Group F,soccerbets,4.0,1.0,recanatese,foligno,H,1.0,1.0
2026-09-16,Trestina,Fossombrone,2.52,2.87,2.73,,Serie D - Group F,soccerbets,0.0,1.0,trestina,fossombrone,A,0.0,0.0
2026-09-16,Citta di Anagni,Unipomezia,3.38,3.59,1.85,,Serie D - Group G,soccerbets,0.0,2.0,citta di anagni,unipomezia,A,0.0,0.0
2026-09-16,Real Normanna,Martina Calcio,2.81,2.77,2.54,,Serie D - Group H,soccerbets,1.0,2.0,real normanna,martina calcio,A,1.0,1.0
2026-09-16,Terengganu,DPMM,1.42,4.38,5.59,,Fa Cup,soccerbets,1.0,3.0,terengganu,dpmm,A,1.0,1.0
2026-09-16,Bukovyna,LNZ Cherkasy,3.48,2.95,2.21,,Ukrainian Cup,soccerbets,0.0,0.0,bukovyna,lnz cherkasy,D,0.0,0.0
2026-09-16,OKMK,Xorazm Urganch,1.18,5.7,10.75,,Uzbekistan Cup,soccerbets,2.0,1.0,okmk,xorazm urganch,H,1.0,1.0
2026-09-16,Correggese,Varesina,2.22,3.17,2.89,,Serie D - Group D,soccerbets,2.0,1.0,correggese,varesina,H,1.0,1.0
2026-09-16,Aris,Marko,1.15,6.62,13.77,,Greek Cup,soccerbets,1.0,0.0,aris,marko,H,0.0,0.0
2026-09-16,Smederevo,Sp. Subotica,2.31,3.13,2.78,,Mozzart Bet Prva Liga,soccerbets,2.0,1.0,smederevo,sp subotica,H,1.0,1.0
2026-09-16,El Gouna,Petrojet,3.56,2.79,2.45,,Premier League,soccerbets,1.0,2.0,el gouna,petrojet,A,1.0,1.0
2026-09-16,Ligorna,Derthona FbC,1.49,3.76,5.65,,Serie D - Group A,soccerbets,2.0,3.0,ligorna,derthona fbc,A,1.0,1.0
2026-09-16,Lucchese,SCD Progresso,1.43,4.43,5.39,,Serie D - Group E,soccerbets,5.0,0.0,lucchese,scd progresso,H,1.0,0.0
2026-09-16,Atl. Lodigiani,Latte Dolce,2.07,3.44,2.95,,Serie D - Group G,soccerbets,2.0,2.0,atl lodigiani,latte dolce,D,1.0,1.0
2026-09-16,Havirov,Zlin,14.23,8.95,1.09,,Mol Cup,soccerbets,0.0,4.0,havirov,zlin,A,1.0,0.0
2026-09-16,Kraluv Dvur,Brno,8.39,7.1,1.17,,Mol Cup,soccerbets,0.0,3.0,kraluv dvur,brno,A,1.0,0.0
2026-09-16,Neratovice,Slovacko,8.31,6.23,1.2,,Mol Cup,soccerbets,0.0,4.0,neratovice,slovacko,A,1.0,0.0
2026-09-16,Pribram,Hradec Kralove,5.7,4.68,1.45,,Mol Cup,soccerbets,1.0,2.0,pribram,hradec kralove,A,1.0,1.0
